"71";"Algemene Zaken";"kern";"Medewerker Vervoer schaal 04";3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3
"72";"Algemene Zaken";"kern";"Medewerker Verwerken en Behandelen S05";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,556;0,556
"73";"Algemene Zaken";"kern";"Medewerker Verwerken en Behandelen S07";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,5;0,5;0,5;0,5;0,611
"74";"Algemene Zaken";"kern";"Middenmanager schaal 13";3;3;3;2;2;1;1;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;2;2;2;NA;NA
"75";"Algemene Zaken";"kern";"Middenmanager schaal 14";2,056;2,056;2,056;2,056;2,056;2,056;2,056;2,056;1,889;1,889;1,889;1,889;2,889;2,056;2,056;2,056;2,056;2,056;2,056;2,056;3,056;3,056;2;NA;NA
"76";"Algemene Zaken";"kern";"Middenmanager schaal 15";1;1;1;1;1;1;1;1;1;NA;NA;1;1;1;1;1;1;1;1;1;1;NA;1;NA;NA
"77";"Algemene Zaken";"kern";"Operationeel Manager S09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2
"78";"Algemene Zaken";"kern";"Operationeel Manager schaal 09";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,111;1,111;1,111;1;1;1;1;NA;NA
"79";"Algemene Zaken";"kern";"Operationeel Manager schaal 10";1,889;1,889;1,889;1,889;1,889;1,889;1,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;NA;NA;NA;NA;NA;NA
"80";"Algemene Zaken";"kern";"Operationeel Manager schaal 11";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA
"81";"Algemene Zaken";"kern";"Operationeel Manager schaal 12";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
"82";"Algemene Zaken";"kern";"Project-/Programmamanager S12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1
"83";"Algemene Zaken";"kern";"Project-/Programmamanager S14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1
"84";"Algemene Zaken";"kern";"Project-/Programmamanager schaal 12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
"85";"Algemene Zaken";"kern";"Project-/Programmamanager schaal 14";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
"86";"Algemene Zaken";"kern";"Project-/Programmamanager schaal 15";1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"87";"Algemene Zaken";"kern";"Projectleider schaal 12";1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
"88";"Algemene Zaken";"kern";"Projectleider schaal 13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1,5;1,5;1;NA;NA;NA
"89";"Algemene Zaken";"kern";"Senior Adviseur Bedrijfsvoering schaal11";5,056;5,056;5,056;5,056;6,056;7,056;6,056;5,056;4,056;4,056;4,056;4,056;6,111;6;6;6;4;4;3;5;4;4;4;2;2
"90";"Algemene Zaken";"kern";"Senior Adviseur Bedrijfsvoering schaal12";9;9;10;9;8;8;8;8;9;9;9;7;11,745;12,745;12,856;12,8;10,8;10,8;10,8;10,8;10,8;10,8;10;12;10,833
